Int_optimized,Int_unoptimized,two_theta_optimized,two_theta_unoptimized
0,0,42.772,42.772
0,2,42.774,42.774
2,1,42.776,42.776
1,0,42.778,42.778
1,1,42.78,42.78
0,0,42.782,42.782
1,2,42.784,42.784
3,2,42.786,42.786
0,1,42.788,42.788
0,1,42.79,42.79
0,0,42.792,42.792
1,1,42.794,42.794
1,0,42.796,42.796
1,0,42.798,42.798
2,0,42.8,42.8
1,2,42.802,42.802
0,0,42.804,42.804
1,1,42.806,42.806
0,1,42.808,42.808
1,1,42.81,42.81
1,0,42.812,42.812
2,0,42.814,42.814
1,0,42.816,42.816
2,0,42.818,42.818
1,1,42.82,42.82
0,1,42.822,42.822
1,0,42.824,42.824
2,4,42.826,42.826
1,0,42.828,42.828
1,0,42.83,42.83
0,0,42.832,42.832
1,2,42.834,42.834
0,0,42.836,42.836
1,2,42.838,42.838
0,2,42.84,42.84
0,1,42.842,42.842
0,2,42.844,42.844
1,0,42.846,42.846
0,2,42.848,42.848
1,1,42.85,42.85
0,0,42.852,42.852
1,2,42.854,42.854
0,1,42.856,42.856
1,3,42.858,42.858
1,0,42.86,42.86
2,1,42.862,42.862
2,2,42.864,42.864
0,2,42.866,42.866
2,0,42.868,42.868
2,0,42.87,42.87
0,1,42.872,42.872
2,2,42.874,42.874
1,0,42.876,42.876
0,3,42.878,42.878
2,1,42.88,42.88
1,2,42.882,42.882
0,2,42.884,42.884
1,1,42.886,42.886
0,1,42.888,42.888
3,0,42.89,42.89
0,1,42.892,42.892
2,1,42.894,42.894
0,0,42.896,42.896
0,0,42.898,42.898
4,2,42.9,42.9
3,1,42.902,42.902
2,2,42.904,42.904
2,1,42.906,42.906
1,1,42.908,42.908
1,0,42.91,42.91
1,0,42.912,42.912
0,2,42.914,42.914
1,2,42.916,42.916
2,1,42.918,42.918
2,0,42.92,42.92
1,1,42.922,42.922
3,1,42.924,42.924
0,0,42.926,42.926
0,1,42.928,42.928
1,0,42.93,42.93
1,2,42.932,42.932
0,1,42.934,42.934
2,0,42.936,42.936
2,1,42.938,42.938
0,1,42.94,42.94
2,3,42.942,42.942
0,1,42.944,42.944
0,0,42.946,42.946
0,0,42.948,42.948
3,1,42.95,42.95
0,0,42.952,42.952
0,0,42.954,42.954
1,0,42.956,42.956
1,4,42.958,42.958
2,2,42.96,42.96
1,0,42.962,42.962
0,1,42.964,42.964
0,0,42.966,42.966
0,5,42.968,42.968
1,0,42.97,42.97
0,0,42.972,42.972
1,3,42.974,42.974
3,1,42.976,42.976
2,1,42.978,42.978
